"","type","measure","comp.size","comp.pct","removed.pct","management"
"118","Targeted vertex attack","degree",162,0.512658227848101,0.369085173501577,"organic"
"119","Targeted vertex attack","degree",158,0.5,0.372239747634069,"organic"
"120","Targeted vertex attack","degree",157,0.496835443037975,0.375394321766562,"organic"
"121","Targeted vertex attack","degree",153,0.484177215189873,0.378548895899054,"organic"
"122","Targeted vertex attack","degree",146,0.462025316455696,0.381703470031546,"organic"
"123","Targeted vertex attack","degree",145,0.458860759493671,0.384858044164038,"organic"
"124","Targeted vertex attack","degree",141,0.44620253164557,0.38801261829653,"organic"
"125","Targeted vertex attack","degree",139,0.439873417721519,0.391167192429022,"organic"
"126","Targeted vertex attack","degree",133,0.420886075949367,0.394321766561514,"organic"
"127","Targeted vertex attack","degree",127,0.401898734177215,0.397476340694006,"organic"
"128","Targeted vertex attack","degree",123,0.389240506329114,0.400630914826498,"organic"
"129","Targeted vertex attack","degree",121,0.382911392405063,0.403785488958991,"organic"
"130","Targeted vertex attack","degree",110,0.348101265822785,0.406940063091483,"organic"
"131","Targeted vertex attack","degree",108,0.341772151898734,0.410094637223975,"organic"
"132","Targeted vertex attack","degree",105,0.332278481012658,0.413249211356467,"organic"
"133","Targeted vertex attack","degree",103,0.325949367088608,0.416403785488959,"organic"
"134","Targeted vertex attack","degree",101,0.319620253164557,0.419558359621451,"organic"
"135","Targeted vertex attack","degree",101,0.319620253164557,0.422712933753943,"organic"
"136","Targeted vertex attack","degree",95,0.300632911392405,0.425867507886435,"organic"
"137","Targeted vertex attack","degree",94,0.29746835443038,0.429022082018927,"organic"
"138","Targeted vertex attack","degree",86,0.272151898734177,0.43217665615142,"organic"
"139","Targeted vertex attack","degree",86,0.272151898734177,0.435331230283912,"organic"
"140","Targeted vertex attack","degree",85,0.268987341772152,0.438485804416404,"organic"
"141","Targeted vertex attack","degree",84,0.265822784810127,0.441640378548896,"organic"
"142","Targeted vertex attack","degree",83,0.262658227848101,0.444794952681388,"organic"
"143","Targeted vertex attack","degree",81,0.256329113924051,0.44794952681388,"organic"
"144","Targeted vertex attack","degree",74,0.234177215189873,0.451104100946372,"organic"
"145","Targeted vertex attack","degree",74,0.234177215189873,0.454258675078864,"organic"
"146","Targeted vertex attack","degree",74,0.234177215189873,0.457413249211356,"organic"
"147","Targeted vertex attack","degree",69,0.218354430379747,0.460567823343849,"organic"
"148","Targeted vertex attack","degree",65,0.205696202531646,0.463722397476341,"organic"
"149","Targeted vertex attack","degree",56,0.177215189873418,0.466876971608833,"organic"
"150","Targeted vertex attack","degree",56,0.177215189873418,0.470031545741325,"organic"
"151","Targeted vertex attack","degree",56,0.177215189873418,0.473186119873817,"organic"
"152","Targeted vertex attack","degree",55,0.174050632911392,0.476340694006309,"organic"
"153","Targeted vertex attack","degree",55,0.174050632911392,0.479495268138801,"organic"
"154","Targeted vertex attack","degree",54,0.170886075949367,0.482649842271293,"organic"
"155","Targeted vertex attack","degree",48,0.151898734177215,0.485804416403785,"organic"
"156","Targeted vertex attack","degree",48,0.151898734177215,0.488958990536278,"organic"
"157","Targeted vertex attack","degree",46,0.145569620253165,0.49211356466877,"organic"
"158","Targeted vertex attack","degree",46,0.145569620253165,0.495268138801262,"organic"
"159","Targeted vertex attack","degree",46,0.145569620253165,0.498422712933754,"organic"
"160","Targeted vertex attack","degree",46,0.145569620253165,0.501577287066246,"organic"
"161","Targeted vertex attack","degree",43,0.136075949367089,0.504731861198738,"organic"
"162","Targeted vertex attack","degree",41,0.129746835443038,0.50788643533123,"organic"
"163","Targeted vertex attack","degree",41,0.129746835443038,0.511041009463722,"organic"
"164","Targeted vertex attack","degree",41,0.129746835443038,0.514195583596215,"organic"
"165","Targeted vertex attack","degree",41,0.129746835443038,0.517350157728707,"organic"
"166","Targeted vertex attack","degree",40,0.126582278481013,0.520504731861199,"organic"
"167","Targeted vertex attack","degree",35,0.110759493670886,0.523659305993691,"organic"
"168","Targeted vertex attack","degree",35,0.110759493670886,0.526813880126183,"organic"
"169","Targeted vertex attack","degree",35,0.110759493670886,0.529968454258675,"organic"
"170","Targeted vertex attack","degree",22,0.069620253164557,0.533123028391167,"organic"
"171","Targeted vertex attack","degree",18,0.0569620253164557,0.536277602523659,"organic"
"172","Targeted vertex attack","degree",18,0.0569620253164557,0.539432176656151,"organic"
